OBJNAME,OBJNAME_SOURCE,GAIADR2ID,GAIAID_SOURCE,RA_DEG,RA_SOURCE,DEC_DEG,DEC_SOURCE,PMRA,PMRA_SOURCE,PMDE,PMDE_SOURCE,PLX,PLX_SOURCE,RV,RV_SOURCE,GMAG,GMAG_SOURCE,BPMAG,BPMAG_SOURCE,RPMAG,RPMAG_SOURCE,EPOCH,EPOCH_SOURCE,TEFF,TEFF_SOURCE,ALIASES,ALIASES_SOURCE,USED,UHASH
2MASSJ11021804_1630333,input,3969885761146749952,gaia-query-id-gsheet,165.5750733236476,gaia-query-id-input,16.508569208247913,gaia-query-id-input,-17.09000223028758,gaia-query-id-input,-167.63535355277196,gaia-query-id-input,38.97843080819268,gaia-query-id-input,11.463480073065051,gaia-query-id-input,10.741704940795898,gaia-query-id-input,11.865421295166016,gaia-query-id-input,9.719401359558105,gaia-query-id-input,2015.5,gaia-query-id-input,4.0,input,2MASSJ11021804+1630333|LP  431-70|CCDM J11023+1630B|GJ  1141 B|Gaia DR1 3969885756851667584|ASCC  864886|TYC 1430-440-1|L 1258-40|LTT 12955|LSPM J1102+1630W|Gaia DR2 3969885761146749952|USNO-B1.0 1065-00187589|HIC  53947|2MASS J11021804+1630333|GJ  9344 B|** LDS  917B|IDS 10571+1703 B|NLTT 26064|WDS J11024+1631B|[RHG95]  1716|PM J11023+1630W|UCAC4 533-051804|HIP  53947,,1,7c836d21d74f1bff7d3d7bdce27752fb3c2d6eb5ba0f6547226afa745931a503
31CAS,input,532613572919594240,gaia-query-id-gsheet,17.66426212676136,gaia-query-id-input,68.77850735177404,gaia-query-id-input,35.79014163592113,gaia-query-id-input,-26.58955497558326,gaia-query-id-input,10.598254183479092,gaia-query-id-input,0.0,input,5.2834978103637695,gaia-query-id-input,5.307997226715088,gaia-query-id-input,5.311912536621094,gaia-query-id-input,2015.5,gaia-query-id-input,9700.0,HEADER[CFHT],31Cas|BD+68    77|GEN# +1.00006829|GC  1406|AKARI-IRC-V1 J0110393+684642|HD   6829|UBV    1172|31CAS|PLX  235|GCRV   670|HIP   5518|CCDM J01107+6847A|Gaia DR2 532613572919594240|HR   336|FK5 2074|WEB  1219|*  31 Cas|SAO  11612|GSC 04296-01459|SKY#  1796|IDS 01039+6814 A|2MASS J01103933+6846429|TD1   656|TYC 4296-1459-1|PMC 90-93  1194|CSI+68    77  1|uvby98 100006829|AG+68   65|PLX  235.00|IRAS 01072+6830|HIC   5518|ROT   175|PPM  12780,,1,b228331b59aecb612970f748ddbfaed25d23b7f7bb61b879285b52065d35c8c8
33LYN,input,909820931110880640,gaia-query-id-gsheet,128.68271394771872,gaia-query-id-input,36.419444821646266,gaia-query-id-input,-26.116616005680054,gaia-query-id-input,-40.89996873740448,gaia-query-id-input,9.9952731036868,gaia-query-id-input,0.0,input,5.730706214904785,gaia-query-id-input,5.770686149597168,gaia-query-id-input,5.689286231994629,gaia-query-id-input,2015.5,gaia-query-id-input,8840.0,HEADER[CFHT],33Lyn|GSC 02489-02141|BD+36  1840|HD  72524|PPM  73821|SAO  60907|WEB  8092|Renson 20100|Gaia DR2 909820931110880640|GC 11744|HIP  42090|*  33 Lyn|HR  3377|AG+36  857|GEN# +1.00072524|33LYN|GCRV  5634|TYC 2489-2141-1|HIC  42090|uvby98 100072524|2MASS J08344388+3625107|UBV    8134|UBV M  14440|SKY# 16381|TD1 12658,,1,63974053d424642c7e774e0b05fce7f946a60cbdf52c070f13642ba91dc2a01a
42_PEG,input,2717594072113581696,gaia-query-id-gsheet,340.36584155726496,gaia-query-id-input,10.83131282150892,gaia-query-id-input,78.28356239346994,gaia-query-id-input,-10.644269487335066,gaia-query-id-input,14.277742230211011,gaia-query-id-input,-9999.99,input,3.2951061725616455,gaia-query-id-input,4.510671615600586,gaia-query-id-input,3.4691226482391357,gaia-query-id-input,2015.5,gaia-query-id-input,12500.0,HEADER[CFHT],* 42 Peg|PLX 5492|TYC 1155-2187-1|TD1 29271|HIP 112029|*  42 Peg|PMC 90-93   602|JP11  3523|Gaia DR2 2717594072113581696|PPM 141743|WDS J22415+1050A|CCDM J22415+1050A|ADS 16182 A|AG+10 3107|SAO 108103|IRAS 22389+1034|SKY# 43140|UBV M  26553|* zet Peg|PLX 5492.00|2MASS J22412773+1049526|YZ  10  9059|N30 4992|WEB 19999|GEN# +1.00214923|CSI+10  4797  1|AKARI-IRC-V1 J2241277+104952|GCRV 14247|GSC 01155-02187|SRS  30855|GC 31664|IDS 22365+1019 A|ROT  3307|uvby98 100214923|(B) HR 8634|NAME Homam|BD+10  4797|HIC 112029|UCAC3 202-315734|HR  8634|UBV   19416|HD 214923|FK5  855,,1,d274f8d9c7c3aae21aae1036d8ce69d6b517ae9f9a97a85113d3341a1145cdff
4PEG,input,2698772632069758464,gaia-query-id-gsheet,324.6335760395312,gaia-query-id-input,5.771869825223096,gaia-query-id-input,113.80428955080365,gaia-query-id-input,29.525534605688108,gaia-query-id-input,18.880416205548098,gaia-query-id-input,,input,5.590213775634766,gaia-query-id-input,5.747042655944824,gaia-query-id-input,5.3825860023498535,gaia-query-id-input,2015.5,gaia-query-id-input,9900.0,HEADER[CFHT],4Peg|SKY# 41263|Gaia DR2 2698772632069758464|CCDM J21385+0546A|HR  8270|GC 30291|HIC 106856|Renson 57330|PLX 5216.00|*   4 Peg|HD 205924|WDS J21385+0546A|WEB 19314|GEN# +1.00205924|GSC 00555-01662|2MASS J21383194+0546183|CSI+05  4834  1|AG+05 3164|ADS 15157 A|BD+05  4834A|UBV   18595|SAO 126956|BD+05  4834|uvby98 100205924|PLX 5216|UBV M  25834|GCRV 13595|IDS 21335+0519 A|YZ   0  2250|PPM 172049|HIP 106856|TYC  555-1662-1|TD1 28314|YZ   5 10855,,1,8cef858d5653bd4b49710e6466791a3a5a85d94f30fb83d2fdf9d95113e44287
51DRA,input,2134604351047361920,gaia-query-id-gsheet,286.22982762843156,gaia-query-id-input,53.39674788378776,gaia-query-id-input,-4.391384041003458,gaia-query-id-input,21.902643897819832,gaia-query-id-input,8.891839162174596,gaia-query-id-input,0.0,input,5.385783672332764,gaia-query-id-input,5.397529125213623,gaia-query-id-input,5.427084922790527,gaia-query-id-input,2015.5,gaia-query-id-input,9700.0,HEADER[CFHT],51Dra|ROT  2726|BD+53  2178|AG+53 1191|PPM  37071|TYC 3919-1316-1|GEN# +1.00178207|UBV   16220|HD 178207|GC 26290|GCRV 11557|uvby98 100178207|PMC 90-93  4951|HIP  93713|TD1 23938|PLX 4448.00|HGAM    733|Gaia DR2 2134604351047361920|N30 4231|2MASS J19045515+5323479|HR  7251|Gaia DR1 2134604346750000256|*  51 Dra|HIC  93713|PLX 4448|SAO  31371|SKY# 35282|WEB 16283|YZ  53  5853|51DRA,,1,c0d2c6dd6f4d9f8b5c7b740c7621d1691b650f79e670006beb81c025c98e190d
52CAS,input,518109468363459968,gaia-query-id-gsheet,30.71851477864299,gaia-query-id-input,64.90141096285343,gaia-query-id-input,-13.158884279367491,gaia-query-id-input,-12.222698221332454,gaia-query-id-input,11.994516443821206,gaia-query-id-input,,input,5.978429317474365,gaia-query-id-input,6.003530979156494,gaia-query-id-input,5.965331554412842,gaia-query-id-input,2015.5,gaia-query-id-input,9900.0,HEADER[CFHT],52Cas|HR   586|UBV M   8595|AG+64  145|*  52 Cas|WEB  2006|uvby98 100012279|Renson 3120|HD  12279|2MASS J02025247+6454052|ROT   280|Gaia DR2 518109468363459968|TD1  1156|SKY#  3008|TYC 4041-1955-1|GSC 04041-01955|HIP   9564|GEN# +1.00012279|PPM  13421|GCRV  1115|SAO  12095|GC  2446|BD+64   282|CEL    188|HIC   9564,,1,41d045d39e3e2f7750732f4e99c8baa837c3271714927258fb5f5c83870dbb1c
55CNC,input,704967037090946688,gaia-query-id-gsheet,133.14683725487015,gaia-query-id-input,28.329815384688327,gaia-query-id-input,-485.8716175173888,gaia-query-id-input,-233.6510071591159,gaia-query-id-input,79.42740442671895,gaia-query-id-input,27.25733445824737,gaia-query-id-input,5.714437484741211,gaia-query-id-input,6.171420574188232,gaia-query-id-input,5.157893180847168,gaia-query-id-input,2015.5,gaia-query-id-input,5165.0,HEADER[CFHT],55CnC|HIP  43587|** LDS 6219A|HD  75732|GC 12244|Ci 20  494|[B10]  2380|GEN# +1.00075732A|NAME Copernicus|2MASS J08523579+2819509|ASCC  678466|55CncB|UBV    8589|WISEA J085235.41+281948.5|HIC  43587|USNO-B1.0 1183-00181854|Gaia DR2 704967037090946688|CSI+28  1660  1|LHS  2062|UBV M  14808|WEB  8400|SKY# 17095|AKARI-IRC-V1 J0852355+281949|PLX 2117|HR  3522|WDS J08526+2820A|SPOCS  407|*  55 Cnc|PM 08496+2831A|N30 2085|AG+28  954|YPAC 155|BD+28  1660|uvby98 100075732 A|NLTT 20414|GCRV  5843|SAO  80478|YZ  28  4722|* rho01 Cnc|PM 08496+2831|* rho Cnc|LTT 12310|LSPM J0852+2819|JP11  1727|PPM  99117|GJ   324 A|TYC 1949-2012-1|BD+28  1660A|LFT  609|IRAS 08496+2831,,1,cbe8ea54e6d5bf24e9d3a94c62d204e0688166a6a37bf88cc2fdfc70dbbf0213
59PEG,input,2665976777193321600,gaia-query-id-gsheet,347.934091421241,gaia-query-id-input,8.72009375018093,gaia-query-id-input,-7.742445696210631,gaia-query-id-input,-4.523715990876353,gaia-query-id-input,13.091912221160026,gaia-query-id-input,0.0,input,5.082010269165039,gaia-query-id-input,5.205014228820801,gaia-query-id-input,4.9997758865356445,gaia-query-id-input,2015.5,gaia-query-id-input,8080.0,HEADER[CFHT],59Peg|GC 32302|N30 5100|ROT  3376|PLX 5612.00|HIP 114520|GEN# +1.00218918|TD1 29684|2MASS J23114419+0843122|PMC 90-93  1142|GSC 01161-01795|AG+08 3201|WEB 20323|uvby98 100218918|IRAS 23092+0827|UBV M  26884|BD+07  4991|TYC 1161-1795-1|GCRV 14557|PLX 5612|*  59 Peg|HR  8826|59PEG|HD 218918|PPM 173843|SKY# 43996|SAO 128022|Gaia DR2 2665976777193321600|YZ   8 11552|HIC 114520|FK5 1606|UBV   19847,,1,6484b58a28f77579c6e7ee385d162369b39023f543deacc5252471b599bfd6fa
59PER,input,204676121033664384,gaia-query-id-gsheet,70.72659870015983,gaia-query-id-input,43.364915440727835,gaia-query-id-input,30.825716197014856,gaia-query-id-input,-50.576106454524734,gaia-query-id-input,12.729436387847374,gaia-query-id-input,,input,5.271516799926758,gaia-query-id-input,5.305307388305664,gaia-query-id-input,5.280782699584961,gaia-query-id-input,2015.5,gaia-query-id-input,9900.0,HEADER[CFHT],59Per|SAO  39699|uvby98 100029722|CEL    456|HIC  21928|UBV M  10275|GSC 02905-01947|HIP  21928|FK5 2349|GEN# +1.00029722|BD+43  1043|HR  1494|HD  29722|2MASS J04425431+4321543|*  59 Per|PLX 1041|ROT   669|AG+43  484|GC  5719|N30  995|TYC 2905-1947-1|GCRV  2760|PPM  47288|BSD  24-105|Gaia DR2 204676121033664384|PLX 1041.00|TD1  3449|WEB  4211|UBV    4506|SKY#  7319,,1,368e7027dcd37fa4ff283c3761b41e923d3dd1048c74711211a2a1bd9c574e39
