KEYNAME, FIBER, SUPERCAL, FILENAME, HUMANTIME, UNIXTIME, USED
WAVESOL_DEFAULT, A, 1, MASTER_WAVE_NIRPS_HA_CUT_73.fits, 1970-01-01 00:00:00.000000, 0.0, 1
WAVESOL_DEFAULT, B, 1, MASTER_WAVE_NIRPS_HA_CUT_73.fits, 1970-01-01 00:00:00.000000, 0.0, 1
