nsig,xpix,ypix
35.497657775878906,3128,0
34.61589813232422,3194,0
14.894899368286133,3097,3
39.43632125854492,3118,3
26.354928970336914,3142,3
12.60584545135498,3151,3
10.981809616088867,1277,4
302.86724853515625,2277,4
26.06231117248535,3112,4
23.361061096191406,3147,4
13.341394424438477,3191,4
13.996691703796387,599,5
310.51409912109375,2435,5
960.6640014648438,2537,5
730.7442626953125,2983,5
16.160078048706055,3101,5
15.061650276184082,3104,5
17.644912719726562,3125,5
265.1596374511719,3555,6
1043.7078857421875,776,7
23.254167556762695,3198,7
41.09867477416992,3738,7
559.177734375,2448,8
85.48738861083984,2556,8
23.71616554260254,3153,8
43.011959075927734,3208,8
21.675323486328125,628,9
22.36945915222168,2220,9
22.550151824951172,3085,9
22.61713981628418,3191,9
70.734375,3705,10
767.4100952148438,2469,11
36.11431884765625,3147,11
10.510337829589844,3162,11
491.1072082519531,4081,11
258.9200439453125,2478,12
878.978759765625,2565,12
11.291996955871582,2645,12
12.600890159606934,3127,12
23.92030906677246,3171,12
10.499037742614746,3098,13
11.312345504760742,3114,13
14.640816688537598,3139,13
10.87385082244873,3185,13
16.948017120361328,3198,13
23.658506393432617,43,14
619.880615234375,2049,14
23.75494956970215,2246,14
1063.4603271484375,3049,14
18.010648727416992,3091,14
29.647607803344727,3774,14
295.55145263671875,2598,15
12.541993141174316,3125,15
28.068395614624023,3165,15
886.3638305664062,2826,16
12.611479759216309,3183,16
10.161572456359863,3199,16
14.145877838134766,3385,16
31.181835174560547,3514,16
249.99929809570312,672,17
219.54046630859375,2747,17
106.27345275878906,444,18
17.768808364868164,3174,18
14.402801513671875,3179,18
27.429922103881836,2427,19
296.06341552734375,3451,19
273.8785095214844,3754,19
11.426380157470703,516,20
11.913308143615723,3109,21
386.5306091308594,3663,21
96.7959976196289,2501,22
21.924509048461914,605,23
205.0447540283203,2248,23
46.08625793457031,3131,23
11.304651260375977,3141,23
16.459150314331055,3146,24
26.100845336914062,3176,24
319.0184326171875,3588,24
362.60235595703125,3765,24
12.477750778198242,48,25
21.744300842285156,3183,25
734.9557495117188,3973,25
10.68748664855957,749,26
1190.6097412109375,2066,26
53.80302047729492,2685,26
17.513744354248047,3093,27
12.114399909973145,3166,27
28.585826873779297,27,28
871.0977783203125,54,28
10.703436851501465,516,28
433.85345458984375,3074,28
24.720256805419922,3114,28
15.073572158813477,3163,28
