ORDER,RECIPE,SHORTNAME,RECIPE KIND,REF RECIPE,ARGS,KWARGS
1,apero_dark_ref_nirps_ha.py,DARKREF,calib-reference,Yes,,
2,apero_badpix_nirps_ha.py,BADREF,calib-reference,Yes,,
3,apero_loc_nirps_ha.py,LOCREFB,calib-reference-B,Yes,{files}=[DARK_FLAT],
4,apero_loc_nirps_ha.py,LOCREFA,calib-reference-A,Yes,{files}=[FLAT_DARK],
5,apero_shape_ref_nirps_ha.py,SHAPEREF,calib-reference,Yes,,
6,apero_shape_nirps_ha.py,SHAPELREF,calib-reference,Yes,,
7,apero_flat_nirps_ha.py,FLATREF,calib-reference,Yes,,
8,apero_leak_ref_nirps_ha.py,LEAKREF,calib-reference,Yes,,
9,apero_wave_ref_nirps_ha.py,WAVEREF,calib-reference,Yes,,--hcfiles=[HCONE_HCONE] |br| --fpfiles=[FP_FP]
