ORDER,RECIPE,SHORTNAME,RECIPE KIND,MASTER RECIPE,FIBER,FILTERS,ARGS
1,apero_extract_nirps_ha.py,EXTTELL,extract-hotstar,No,--,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY","{files}=[OBJ_DARK, OBJ_FP, OBJ_SKY]"
2,apero_mk_tellu_nirps_ha.py,MKTELLU1,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY",{files}=[EXT_E2DS_FF]
3,apero_mk_model_nirps_ha.py,MKTMOD1,tellu-hotstar,No,--,--,
4,apero_fit_tellu_nirps_ha.py,MKTFIT,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY",{files}=[EXT_E2DS_FF]
5,apero_mk_template_nirps_ha.py,MKTEMP,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY",{files}=[EXT_E2DS_FF]
6,apero_mk_tellu_nirps_ha.py,MKTELLU2,tellu-hotstar,No,A,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY",{files}=[EXT_E2DS_FF]
7,apero_mk_model_nirps_ha.py,MKTMOD2,tellu-hotstar,No,--,--,
