ORDER,RECIPE,SHORTNAME,RECIPE KIND,REF RECIPE,FIBER,FILTERS,ARGS
1,apero_extract_nirps_ha.py,EXTOBJ,extract-science,No,--,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY","{files}=[OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY]"
2,apero_fit_tellu_nirps_ha.py,FTFIT1,tellu-science,No,A,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF]
3,apero_mk_template_nirps_ha.py,FTTEMP,tellu-science,No,A,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",
4,apero_fit_tellu_nirps_ha.py,FTFIT2,tellu-science,No,A,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, OBJ_SKY, OBJ_TUN, FLUXSTD_SKY, TELLU_SKY",{files}=[EXT_E2DS_FF]
