ORDER,RECIPE,SHORTNAME,RECIPE KIND,REF RECIPE,ARGS
1,apero_badpix_nirps_ha.py,BAD,calib-night,No,
2,apero_loc_nirps_ha.py,LOCCAL,calib-night-CAL,No,"{files}=[DARK_FLAT, CALIB_DARK_FLAT]"
3,apero_loc_nirps_ha.py,LOCSCI,calib-night-SCI,No,"{files}=[FLAT_DARK, CALIB_FLAT_DARK]"
4,apero_shape_nirps_ha.py,SHAPE,calib-night,No,
5,apero_flat_nirps_ha.py,FF,calib-night,No,"{files}=[FLAT_FLAT, DARK_FLAT, FLAT_DARK, CALIB_FLAT_DARK, CALIB_DARK_FLAT]"
6,apero_wave_night_nirps_ha.py,WAVE,calib-night,No,
