wavelength,strength,ID
988.1539,849.86,UI
988.268,26.9,UI
988.2869,26.4,UI
988.4181,730.69,UI
988.5425,182.1,UI
988.855,21.59,UI
989.0279,34.33,UI
989.051,27.47,UI
989.2146,16.35,UI
989.2308,30.5,UI
989.422,88.05,UI
989.7583,40.13,UII
989.7811,51.89,UI
989.7988,150.56,UI
989.8377,328.06,UI
989.9196,195.8,UI
990.2011,53.92,UI
990.3203,21.69,UI
990.4851,34.98,UI
990.5027,29.49,UII
990.5494,32.09,UI
990.6785,56.41,UI
990.7981,65.9,UI
990.8607,1156.45,UI
990.9889,217.63,UI
991.071,349.21,UI
991.1306,58.08,UI
991.1681,27.72,UI
991.2041,16.85,UI
991.3113,37.74,UI
991.3973,211.55,UI
991.5366,24.33,UI
991.651,20.74,UI
991.7978,29.0,UI
991.9931,1534.62,UI
992.1233,331.62,UI
992.1851,382.16,UI
992.2591,19.45,UI
992.3145,31.73,UI
992.4408,19.75,UI
992.464,14.99,UI
992.5379,93.81,UI
992.6471,20.94,UI
992.7769,14.2,UI
992.8095,31.48,UI
992.9109,326.08,UI
992.9392,83.65,?
993.1095,112.31,UI
993.1664,37.75,UI
993.2434,19.08,UI
993.2756,102.06,UI
993.3451,107.43,UI
993.4592,82.0,UI
993.5484,2632.45,UI
993.647,26.52,UI
993.8043,43.06,UI
993.9497,82.27,UI
994.1277,33.8,UI
994.1739,42.55,UI
994.3766,111.36,UI
994.4784,24.27,UI
994.6628,17.31,UI
994.7461,37.26,UI
994.8948,101.34,UI
994.9376,145.69,UI
995.0424,33.46,UI
995.0592,157.17,UI
995.0986,36.73,UI
995.1933,73.03,UI
995.3023,349.43,UI
995.5216,326.27,UI
995.7219,18.7,UI
995.8796,48.81,UI
996.0179,90.02,UI
996.0433,60.62,UI
996.0559,34.53,UI
996.0947,29.26,UI
996.1416,44.62,UI
996.2061,46.65,UI
996.3409,22.08,UI
996.3999,212.63,UI
996.4353,415.02,UI
996.4744,55.58,UI
996.6842,2125.49,UI
996.8018,553.19,UI
996.8328,55.89,UI
996.9102,84.77,UI
996.9716,403.75,UI
996.9836,506.07,UI
997.0776,45.4,UI
997.1124,41.75,UI
997.1931,29.59,UI
997.3501,42.26,UI
997.368,203.37,UI
997.5178,20.43,UI
997.7119,137.0,UI
997.7829,24.63,UI
997.8795,28.49,UI
997.9032,101.38,UI
998.0944,48.7,UI
998.195,24.37,UI
998.471,52.39,UI
998.4942,23.81,UI
998.5978,24.77,UI
998.6898,14.91,UI
998.7824,560.12,UI
998.8559,43.74,UI
998.8828,28.09,UI
998.9039,23.56,UI
998.9552,95.2,UI
998.9963,35.55,UI
999.3189,41.19,UI
999.475,59.86,UI
999.5602,73.12,UI
999.587,95.69,UI
999.6211,1373.73,UI
999.8469,61.13,UI
999.9544,32.58,UI
999.976,114.6,UI
1000.0193,39.02,UI
1000.2259,25.84,UI
1000.3225,125.16,UI
1000.4547,98.83,UI
1000.483,123.64,UI
1000.642,56.47,UI
1001.0473,82.18,UI
1001.2807,111.18,UI
1001.357,1589.32,UI
1001.4161,227.3,UI
1001.6988,26.34,UI
1001.7518,60.26,UI
1001.7739,47.96,UI
1001.8864,80.22,UI
1002.0401,51.69,?
1002.1,63.22,UI
1002.1897,123.1,UI
1002.2671,26.19,UI
1002.5237,255.07,UI
1002.7417,31.95,UI
1002.8983,30.73,UI
1003.1056,84.13,UI
1003.2902,23.09,UI
1003.3044,35.68,UI
1003.3203,53.92,UI
1003.4434,24.68,UI
1003.5545,32.11,UI
1003.5813,115.3,UI
1003.5989,133.82,UI
1003.6341,212.63,UI
1003.6666,403.78,UI
1003.6823,75.19,UI
1003.7014,288.11,UI
1003.7547,29.47,UI
1003.7961,25.48,UI
1003.8459,45.62,UI
1004.1571,742.14,UI
1004.3273,1142.09,UI
1004.8292,35.52,UI
1004.8707,119.41,UI
1004.9511,35.91,UI
1005.0069,47.41,UI
1005.0195,142.83,UI
1005.0297,373.73,UI
1005.0545,32.45,UI
1005.1126,67.78,UI
1005.1304,56.87,UI
1005.243,17.95,?
1005.4011,27.55,UI
1005.4416,39.63,UI
1005.4729,51.37,UI
1005.5722,35.52,UI
1005.5909,35.18,UI
1005.773,21.38,UI
1005.971,32.36,UI
1006.0344,243.36,UI
1006.0827,192.79,UI
1006.2847,26.78,UI
1006.4245,28.05,UI
1006.4465,38.14,UI
1006.4865,25.61,UI
1006.5331,53.18,UI
1006.6331,56.36,UI
1006.7775,46.93,UI
1006.7975,33.39,UI
1007.0115,254.29,UI
1007.1707,28.54,UI
1007.1948,103.67,UI
1007.2388,30.4,UI
1007.2785,185.68,UI
1007.4017,135.07,UI
1007.5457,76.84,UI
1007.6354,2464.22,UI
1007.7954,773.21,UI
1007.9275,28.62,UI
1008.2074,87.08,UI
1008.2957,36.29,?
1008.3461,30.98,UI
1008.5332,82.31,UI
1008.554,27.36,UI
1008.6459,32.5,UI
1008.6988,58.16,UI
1008.8231,35.56,UI
1008.88,1207.35,UI
1008.9392,38.38,UI
1009.2217,79.27,UI
1009.3984,30.69,UI
1009.5345,88.17,UI
1009.687,62.62,?
1009.7165,217.4,UI
1009.8038,553.84,UI
1009.9168,45.2,UI
1009.9254,66.69,UI
1010.0281,31.57,UII
1010.1517,99.72,UI
1010.2494,24.64,UI
1010.3298,38.48,UI
1010.4172,75.44,UI
1010.4865,52.76,UI
1010.5281,117.22,UI
1010.6265,1039.18,UI
1010.8127,36.82,UI
1010.8312,38.78,UI
1011.0954,201.54,UI
1011.367,29.8,?
1011.4883,138.71,UI
1011.6072,195.73,UI
1011.9465,268.45,UI
1012.199,34.18,UI
1012.4252,59.6,UI
1012.5263,440.64,UI
1012.5644,46.97,UI
1012.6511,30.98,UI
1012.8964,172.57,UI
1013.0384,175.11,UI
1013.0786,29.49,UI
1013.1131,25.5,UI
1013.2563,32.58,?
1013.304,211.8,UI
1013.6807,29.57,UI
1013.6981,201.03,?
1013.8697,29.95,UI
1013.8909,94.5,UI
1013.9154,24.38,UI
1014.1165,50.39,UI
1014.4263,39.92,UI
1014.4532,16.6,UI
1014.478,19.0,UI
1014.5302,118.26,UI
1014.7516,143.5,UI
1014.9718,70.41,UI
1015.0419,286.57,UI
1015.0686,105.82,UI
1015.1005,44.23,UI
1015.1192,76.95,UI
1015.2185,322.07,UI
1015.3144,314.32,UI
1015.5684,35.31,UI
1015.8585,74.53,UI
1015.9393,2015.93,?
1016.0697,10168.05,UI
1016.2795,30.92,UI
1016.3093,52.45,UI
1016.3271,31.69,UI
1016.3705,40.54,UI
1016.4038,26.32,UI
1016.6088,135.67,UI
1016.6407,98.77,UI
1016.6783,180.93,UI
1016.8314,47.9,UI
1016.8674,53.08,UI
1017.0354,44.51,UI
1017.0889,114.76,UI
1017.1625,72.7,UI
1017.1894,36.85,UI
1017.3272,39.32,UI
1017.3754,45.82,UI
1017.4596,20.0,UI
1017.7411,46.64,UI
1018.0902,129.48,UI
1018.2892,69.34,UII
1018.4451,53.31,UI
1018.5536,61.83,UI
1018.7101,1163.24,UI
1018.766,92.46,UI
1018.9662,24.24,?
1019.14,74.15,UI
1019.3847,29.42,UI
1019.4365,22.34,UI
1019.5505,67.34,UI
1019.5988,468.34,UI
1019.6963,36.56,UI
1019.8192,58.69,UI
1019.9952,31.88,UI
1020.0499,20.65,UI
1020.0735,82.0,?
1020.2082,112.52,UI
1020.2754,23.9,UI
1020.3324,243.06,UI
1020.3946,26.78,UI
1020.6051,98.44,UI
1020.8518,29.76,UI
1020.9217,35.1,UI
1021.0641,31.17,UI
1021.1797,45.71,UI
1021.2494,15.99,UI
1021.6111,39.96,UI
1021.9522,36.86,UI
1022.2509,43.75,UI
1022.4653,55.36,UI
1022.6086,127.91,UI
1022.6272,146.82,UI
1022.7241,28.29,?
1022.7566,42.14,UI
1022.7823,52.14,UI
1022.802,42.85,UI
1022.8268,28.19,UI
1022.8382,26.86,UI
1023.4058,43.06,UI
1023.4655,118.21,UI
1023.8905,124.16,UII
1023.9475,81.52,UI
1024.041,23.22,UI
1024.1963,30.11,UI
1024.5288,37.24,UI
1024.5767,42.4,UI
1024.688,111.9,UI
1024.7324,32.29,UI
1024.8534,1578.05,UI
1024.9751,2049.07,UI
1025.0209,194.68,UI
1025.3505,49.57,UI
1025.3633,135.45,UI
1025.4382,25.72,UI
