name,description,HDR[DRSOUTID],file type,suffix,basename,fibers,input file
WAVERES,Nightly wavelength resolution map file,WAVE_RES,.fits,_wave_res,--,"AB, A, B, C","EXT_E2DS, EXT_E2DS_FF"
WAVE_FPRESTAB,Nightly wavelength resolutiontable,--,.tbl,--,apero_wave_results,"AB, A, B, C","EXT_E2DS, EXT_E2DS_FF"
WAVE_FPLLTABL,Nightly wavelength FP line-list table,--,.tbl,_hc_lines,--,"AB, A, B, C","EXT_E2DS, EXT_E2DS_FF"
WAVE_HCLIST,Nightly wavelength Hollow cathodeline-list table,WAVE_HCLIST,.fits,_wave_hclines,--,"AB, A, B, C","EXT_E2DS, EXT_E2DS_FF"
WAVE_FPLIST,Nightly wavelength FP line-list calibration file,WAVE_FPLIST,.fits,_wave_fplines,--,"AB, A, B, C","EXT_E2DS, EXT_E2DS_FF"
SKY_MODEL,Telluric sky model file,SKY_MODEL,.fits,_sky_model,--,--,EXT_E2DS_FF
TELLU_SCLEAN,Sky-cleaning file,TELLU_SCLEAN,.fits,_tellu_sclean.fits,--,--,EXT_E2DS_FF
TELLU_PCLEAN,Telluric pre-cleaning file,TELLU_PCLEAN,.fits,_tellu_pclean,--,"AB, A, B",EXT_E2DS_FF
TELLU_CONV,Telluric convolution file,--,.npy,_tellu_conv,--,"AB, A, B","WAVESOL_REF, WAVE_NIGHT, WAVESOL_DEFAULT"
TELLU_TRANS,Telluric transmission file,TELLU_TRANS,.fits,_tellu_trans,--,"AB, A, B",EXT_E2DS_FF
TELLU_TAPAS,Telluric TAPAS spline file,--,.npy,--,tapas_spl.npy,--,--
TRANS_MODEL,Telluric transmission model file,TRANS_MODEL,.fits,--,trans_model_{0},"AB, A, B",--
ABSO_NPY,Telluric absorption temporary file 1,--,.npy,--,tellu_save.npy,--,--
TELLU_OBJ,Telluric corrected extracted 2D spectrum,TELLU_OBJ,.fits,_e2dsff_tcorr,--,"AB, A, B",EXT_E2DS_FF
SC1D_W_FILE,Telluric corrected extracted 1D spectrum (constant wavelength binning),SC1D_W_FILE,.fits,_s1d_w_tcorr,--,"AB, A, B",EXT_E2DS_FF
SC1D_V_FILE,Telluric corrected extracted 1D spectrum (constant velocity binning),SC1D_V_FILE,.fits,_s1d_v_tcorr,--,"AB, A, B",EXT_E2DS_FF
TELLU_RECON,Telluric reconstructed 2D absorption file,TELLU_RECON,.fits,_e2dsff_recon,--,"AB, A, B",EXT_E2DS_FF
RC1D_W_FILE,Telluric reconstructed 1D absorption file (constant wavelength binning),RC1D_W_FILE,.fits,_s1d_w_recon,--,"AB, A, B",EXT_E2DS_FF
RC1D_V_FILE,Telluric reconstructed 1D absorption file (constant velocity binning),RC1D_V_FILE,.fits,_s1d_v_recon,--,"AB, A, B",EXT_E2DS_FF
TELLU_TEMP,Telluric 2D template file,TELLU_TEMP,.fits,--,Template,"AB, A, B","EXT_E2DS_FF, TELLU_OBJ"
TELLU_BIGCUBE,Telluric object 2D stack file (star frame),TELLU_BIGCUBE,.fits,--,BigCube,"AB, A, B","EXT_E2DS_FF, TELLU_OBJ"
TELLU_BIGCUBE0,Telluric object  2D stack file (Earth frame),TELLU_BIGCUBE0,.fits,--,BigCube0,"AB, A, B","EXT_E2DS_FF, TELLU_OBJ"
TELLU_TEMP_S1DW,Telluric 1D template file,TELLU_TEMP_S1DW,.fits,--,Template_s1dw,"AB, A, B","EXT_E2DS_FF, TELLU_OBJ"
TELLU_TEMP_S1DV,Telluric 1D template file,TELLU_TEMP_S1DV,.fits,--,Template_s1dv,"AB, A, B","EXT_E2DS_FF, TELLU_OBJ"
TELLU_BIGCUBE_S1D,Telluric object 1D stack file (Earth frame),TELLU_BIGCUBE_S1D,.fits,--,BigCube_s1d,"AB, A, B","EXT_E2DS_FF, TELLU_OBJ"
CCF_RV,Cross-correlation RV results file,CCF_RV,.fits,_ccf,--,"AB, A, B, C","EXT_E2DS_FF, TELLU_OBJ"
POL_DEG,Polarimetry 2D degree of polarisation file,POL_DEG,.fits,_pol,--,--,"EXT_E2DS_FF, TELLU_OBJ"
STOKESI_POL,Polarimetry 2D stokes I polarisation file,STOKESI_POL,.fits,_StokesI,--,--,"EXT_E2DS_FF, TELLU_OBJ"
NULL_POL1,2D Null polarisation 1 file,NULL_POL1,.fits,_null1_pol,--,--,"EXT_E2DS_FF, TELLU_OBJ"
NULL_POL2,2D Null polarisation 2 file,NULL_POL2,.fits,_null2_pol,--,--,"EXT_E2DS_FF, TELLU_OBJ"
LSD_POL,Least squares deconvolution file,LSD_POL,.fits,_lsd_pol,--,--,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_POL,Polarimetry 2D degree of polarisation file (constant wavelength binning),S1DW_POL,.fits,_s1d_w_pol,--,--,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_POL,Polarimetry 2D degree of polarisation file (constant velocity binning),S1DV_POL,.fits,_s1d_v_pol,--,--,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_NULL1,1D Null polarisation 1 file (constant wavelength binning),S1DW_NULL1,.fits,_s1d_w_null1,--,--,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_NULL1,1D Null polarisation 1 file (constant velocity binning),S1DV_NULL1,.fits,_s1d_v_null1,--,--,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_NULL2,1D Null polarisation 2 file (constant wavelength binning),S1DW_NULL1,.fits,_s1d_w_null2,--,--,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_NULL2,1D Null polarisation 2 file (constant velocity binning),S1DV_NULL2,.fits,_s1d_v_null2,--,--,"EXT_E2DS_FF, TELLU_OBJ"
S1DW_STOKESI,Polarimetry 1D stokes I polarisation file (constant wavelength binning),S1DW_STOKESI,.fits,_s1d_w_stokesi,--,--,"EXT_E2DS_FF, TELLU_OBJ"
S1DV_STOKESI,Polarimetry 1D stokes I polarisation file (constant velocity binning),S1DV_STOKESI,.fits,_s1d_v_stokesi,--,--,"EXT_E2DS_FF, TELLU_OBJ"
