OBJNAME,OBJNAME_SOURCE,GAIADR2ID,GAIAID_SOURCE,RA_DEG,RA_SOURCE,DEC_DEG,DEC_SOURCE,PMRA,PMRA_SOURCE,PMDE,PMDE_SOURCE,PLX,PLX_SOURCE,RV,RV_SOURCE,GMAG,GMAG_SOURCE,BPMAG,BPMAG_SOURCE,RPMAG,RPMAG_SOURCE,EPOCH,EPOCH_SOURCE,TEFF,TEFF_SOURCE,ALIASES,ALIASES_SOURCE,USED,UHASH
16SCO,update-id-gsheet,4348404390042854912,update-id-gsheet,243.0306770539471,database-gaia-id,-8.547581631445452,database-gaia-id,44.12551107497314,database-gaia-id,-0.0782537046735492,database-gaia-id,12.648394889056744,database-gaia-id,,,5.383649826049805,database-gaia-id,5.47044038772583,database-gaia-id,5.292627811431885,database-gaia-id,2015.5,database-gaia-id,8800.0,HEADER[CFHT],16Sco|TD1 18951|UBV   13773|UBV M  21247|YZ  98  5629|HIP  79387|GC 21784|PLX 3675.00|WEB 13423|SAO 141024|*  16 Sco|TYC 5612-1227-1|ROT  2296|PPM 199398|HIC  79387|SKY# 29247|GEN# +1.00145607|IRAS 16094-0825|BD-08  4180|2MASS J16120731-0832512|HR  6033|PLX 3675|HD 145607|GCRV  9313|GSC 05612-01227|Gaia DR2 4348404390042854912|uvby98 100145607,database-gaia-id,1,8b983c4b5c96332e87fc8075c3317c32bd1a0199dc05229d4bc3abd02d2e21e8
17PEG,update-id-gsheet,2728431923869085056,update-id-gsheet,329.23476152306256,database-gaia-id,12.076433824111238,database-gaia-id,-27.509762784888107,database-gaia-id,-12.81550064550362,database-gaia-id,7.583223795180946,database-gaia-id,0.0,database-gaia-id,5.504919528961182,database-gaia-id,5.552576541900635,database-gaia-id,5.4570722579956055,database-gaia-id,2015.5,database-gaia-id,8840.0,HEADER[CFHT],17Peg|GC 30719|UBV   18771|FK5 3751|GEN# +1.00208565|UBV M  26010|HR  8373|GSC 01130-01972|HIP 108339|SAO 107528|AG+11 2735|TYC 1130-1972-1|GCRV 13788|YZ  11  8738|17PEG|HD 208565|uvby98 100208565|2MASS J21565637+1204354|ROT  3192|TD1 28611|BD+11  4696|SKY# 41820|N30 4836|*  17 Peg|HIC 108339|WEB 19513|PPM 140856|Gaia DR2 2728431923869085056,database-gaia-id,1,f34a00af9188a7ccbbfb0404f5a142245ba0b30fd133472bb28fd6459964febe
18_PUP_B,update-id-gsheet,5725122965270676864,update-id-gsheet,122.6417874339313,database-gaia-id,-13.81393774666688,database-gaia-id,-249.06854791341448,database-gaia-id,61.642712170774736,database-gaia-id,47.80885532874711,database-gaia-id,32.5190402355434,database-gaia-id,10.920605659484863,database-gaia-id,12.114315032958984,database-gaia-id,9.769883155822754,database-gaia-id,2015.5,database-gaia-id,3600.0,HEADER[CFHT],"*  18 Pup B|GJ   297.2 B|BD-13  2420B|NLTT 19072|LP  724-22|PM J08105-1348|UCAC4 381-046868|** JOD    4|IDS 08059-1330 B|WDS J08107-1348Ba,Bb|GJ  9255 B|Karmn J08105-138AB|L  818-40|** LDS  204B|CSI-13  2420  2|Gaia DR2 5725122965270676864|[RHG95]  1287|L  818-80|LTT  3069|2MASS J08103429-1348514|HD  68146B|CCDM J08106-1348B|WDS J08107-1348B",database-gaia-id,1,f08f2979b20c17f4100bed3274c15d83fe0b239398b09f1b30885c7535312a95
1RXSJ173353_5_165515,update-id-gsheet,4549983418742839808,update-id-gsheet,263.4709666026625,database-gaia-id,16.919732716915274,database-gaia-id,-122.0832283542438,database-gaia-id,-116.00252386657942,database-gaia-id,62.3715260716875,database-gaia-id,,,12.39874267578125,database-gaia-id,14.57012176513672,database-gaia-id,11.027674674987791,database-gaia-id,2015.5,database-gaia-id,2848.0,HEADER[CFHT],1RXSJ173353.5+165515|PM J17338+1655|Karmn J17338+169|Gaia DR2 4549983418742839808|ASAS J173353+1655.2|V* V1274 Her|1RXS J173353.5+165515|2MASS J17335314+1655129|USNO-B1.0 1069-00320388|UCAC4 535-065571|WISEA J173353.07+165511.6|1SWASP J173353.14+165512.8|LSPM J1733+1655,database-gaia-id,1,fca7435b055df226ed24c573a5a749ef1bf17bd33105ea9a7812284f8485a35d
20_LMI_B,update-id-gsheet,746545859566712832,update-id-gsheet,150.2065628389088,database-gaia-id,31.92737712366331,database-gaia-id,-526.8298962358757,database-gaia-id,-431.4070392778027,database-gaia-id,68.88260354053237,database-gaia-id,-9999.99,database-gaia-id,14.13000202178955,database-gaia-id,16.777103424072266,database-gaia-id,12.677678108215332,database-gaia-id,2015.5,database-gaia-id,3286.0,HEADER[CFHT],* 20 LMi B|RX J1000.8+3155|Karmn J10008+319|WDS J10010+3155B|2MASS J10005030+3155459|1RXS J100050.9+315555|LSR J1000+3155|HD  86728B|BD+32  1964B|WISEA J100049.78+315540.7|[ZEH2003] RX J1000.8+3155  1|GJ   376 B|2MASSW J1000503+315545|[FS2003] 0537|RBS   820|CCDM J10010+3155B|Gaia DR2 746545859566712832|*  20 LMi B|** RAG    7B|UCAC4 610-046343|LSPM J1000+3155|USNO-B1.0 1219-00195906,database-gaia-id,1,2bce48932027dae608e9640f087f364d4e163cdf6a24e7756f0c2175872ca693
23LMI,update-id-gsheet,741357981454593536,update-id-gsheet,154.05977633576634,database-gaia-id,29.31037596169318,database-gaia-id,-70.5898112568857,database-gaia-id,-22.95005698548399,database-gaia-id,11.692045430409047,database-gaia-id,0.0,database-gaia-id,5.4712395668029785,database-gaia-id,5.504825115203857,database-gaia-id,5.496269226074219,database-gaia-id,2015.5,database-gaia-id,9700.0,HEADER[CFHT],23LMi|PPM 100213|Gaia DR2 741357981454593536|2MASS J10161444+2918379|HD  88960|IRAS 10134+2933|BD+30  1981|YZ  29  5271|*  23 LMi|23LMI|GEN# +1.00088960|HIP  50303|UBV    9521|HIC  50303|AG+29 1104|SKY# 19743|SAO  81258|GCRV  6468|UBV M  16070|TYC 1975-1399-1|uvby98 100088960|HR  4024|GSC 01975-01399|FK5 2823|ROT  1546|WEB  9237|TD1 14689|GC 14086,database-gaia-id,1,b6fb2cef3a6936af8c7244ba61996242f33de6b4bf60bf37a062aa251f96c3a4
24LYN,update-id-gsheet,1082548980858594560,update-id-gsheet,115.75142311635268,database-gaia-id,58.71013375302705,database-gaia-id,-37.010936189992194,database-gaia-id,-52.730348865133145,database-gaia-id,12.725388969421951,database-gaia-id,0.0,database-gaia-id,4.884690284729004,database-gaia-id,4.980883121490479,database-gaia-id,4.837820529937744,database-gaia-id,2015.5,database-gaia-id,8786.0,HEADER[CFHT],24Lyn|AKARI-IRC-V1 J0743003+584236|PPM  31272|GSC 03794-01738|PLX 1806.00|ADS  6285 A|HR  2946|IDS 07346+5857 A|PLX 1806|SKY# 14252|PMC 90-93   213|AG+58  607|YZ  58  5184|UBV    7356|Gaia DR2 1082548980858594560|HIC  37609|FK5  292|CCDM J07430+5843A|*  24 Lyn|N30 1737|uvby98 100061497 A|JP11  1581|TYC 3794-1738-1|CSI+59  1103  1|2MASS J07430040+5842372|UBV M  13483|24LYN|HD  61497|SAO  26474|BD+59  1103|GC 10343|IRAS 07387+5849|ROT  1236|WEB  7434|WDS J07430+5843A|HIP  37609|TD1 10663|GCRV  5121|GEN# +1.00061497A,database-gaia-id,1,43dc155e54e8f2f33848cd69d0f7fc153598b22a48759801c73797ae7c89728d
2M16042165_2130284,update-id-gsheet,6243393817024157184,update-id-gsheet,241.09017073815775,database-gaia-id,-21.508033039637382,database-gaia-id,-12.329746867946234,database-gaia-id,-23.829950394362477,database-gaia-id,6.6615043823044005,database-gaia-id,-7.603148133821145,database-gaia-id,11.868547439575195,database-gaia-id,12.578362464904783,database-gaia-id,10.944693565368652,database-gaia-id,2015.5,database-gaia-id,4500.0,HEADER[CFHT],2M16042165-2130284|[PBB2002] USco J160421.7-213028|RX J1604.3-2130A|[KKL2000b] RX J1604.3-2130A|[KKL2000b] 90|J1604|WISEA J160421.64-213028.7|EPIC 204638512|Gaia DR2 6243393817024157184|2MASS J16042165-2130284|[PZ99] J160421.7-213028,database-gaia-id,1,354d9a4af9010a33117e4770c03281b65a49a9e0e252e20a9e55bc3340249ce2
2MASSIJ1108307_683017,update-id-gsheet,1060313492785021312,update-id-gsheet,167.12543664065038,database-gaia-id,68.50378915999254,database-gaia-id,-237.64398016017824,database-gaia-id,-198.08105986824884,database-gaia-id,61.35372226978768,database-gaia-id,-9999.99,database-gaia-id,18.145723342895508,database-gaia-id,21.237024307250977,database-gaia-id,16.520130157470703,database-gaia-id,2015.5,database-gaia-id,3000.0,HEADER[CFHT],2MASSIJ1108307+683017|USNO-B1.0 1585-00117168|LSPM J1108+6830|Gaia DR2 1060313492785021312|2MASSW J1108307+683017|2MASSI J1108307+683017|PSO J167.1260+68.5039|2MASS J11083081+6830169|WISEA J110830.32+683014.6|WISEP J110830.33+683014.8|2MUCD 10960|V* MM UMa,database-gaia-id,1,fd1e30c52bb9dd4a809f5ee350f5459b33ecfcf495f4f0221c566a5b3c5710f3
2MASSJ083521,update-id-gsheet,704762317472249728,update-id-gsheet,128.83929094987516,database-gaia-id,29.25722090092691,database-gaia-id,-2.457344954420717,database-gaia-id,-2.6141199106799187,database-gaia-id,0.6125807302969424,database-gaia-id,,,12.398579597473145,database-gaia-id,12.45436668395996,database-gaia-id,12.267260551452637,database-gaia-id,2015.5,database-gaia-id,8500.0,HEADER[CFHT],2MASSJ083521|Pul -3  440172|2MASS J08352143+2915260|GPM 128.839255+29.257327|Gaia DR2 704762317472249728,database-gaia-id,1,7ffc79cc25d2ffda8103e6f0a4a7dc577269366542b8c212b508aec99aacf8cd
