KEYNAME, FIBER, REFCAL, FILENAME, HUMANTIME, UNIXTIME, USED
WAVESOL_DEFAULT,A, 1,iLocater_2026-02-20_wave_sol.fits, 1970-01-01 00:00:00.000000, 0.0, 1
WAVESOL_DEFAULT,B, 1,iLocater_2026-02-20_wave_sol.fits, 1970-01-01 00:00:00.000000, 0.0, 1
WAVESOL_DEFAULT,C,1,iLocater_2026-02-20_wave_sol.fits, 1970-01-01 00:00:00.000000,0.0,1
