name,description,HDR[DRSOUTID],file type,suffix,dbname,dbkey,input file
REF_FP,Reference shape master FP calibration file,REF_FP,.fits,_fpref,calibration,FPREF,FP_FP
SHAPE_X,Reference shape dx calibration file,SHAPE_X,.fits,_shapex,calibration,SHAPEX,FP_FP
SHAPE_Y,Reference shape dy calibration file,SHAPE_Y,.fits,_shapey,calibration,SHAPEY,FP_FP
SHAPE_IN_FP,Input FP file for shape comparison,SHAPE_IN_FP,.fits,_shape_in_fp,--,--,FP_FP
SHAPE_OUT_FP,Output FP file for shape comparison,SHAPE_OUT_FP,.fits,_shape_out_fp,--,--,FP_FP
SHAPE_BDX,Shape transformed dx comparison file,SHAPE_BDX,.fits,_shape_out_bdx,--,--,FP_FP
DEBUG_BACK,Individual file background map,DEBUG_BACK,.fits,_background.fits,--,--,DRS_PP
