name,description,HDR[DRSOUTID],file type,suffix,dbname,dbkey,input file
BADPIX,Bad pixel map,BADPIX,.fits,_badpixel,calibration,BADPIX,FLAT_FLAT
BKGRD_MAP,Bad pixel background map,BKGRD_MAP,.fits,_bmap.fits,calibration,BKGRDMAP,FLAT_FLAT
