NTH_ORDER WAVELENGTH_COEFF
0 12866768.928711984
1 -3985.946667441557
2 11.178557167521587
3 -0.017917940889806683
4 1.8107085676425903e-05
5 -1.19723604517589e-08
6 5.1841177261656395e-12
7 -1.4191174681237505e-15
8 2.231115532886119e-19
9 -1.53666990758121e-23
