wavelength,strength,ID
969.8701583882053,1.0,EA catalog
970.0057070736897,1.0,EA catalog
970.0681210246523,1.0,EA catalog
970.6188709703503,1.0,EA catalog
970.7131448913659,1.0,EA catalog
970.7993844737114,1.0,EA catalog
971.1204171624688,1.0,EA catalog
971.3999938758208,1.0,EA catalog
971.6172659210567,1.0,EA catalog
971.7369954922849,1.0,EA catalog
972.0296658046383,1.0,EA catalog
972.1948185785997,1.0,EA catalog
972.4276933921982,1.0,EA catalog
972.6982809921149,1.0,EA catalog
972.7583501434381,1.0,EA catalog
972.9985242192115,1.0,EA catalog
973.141528428692,1.0,EA catalog
973.273786549932,1.0,EA catalog
973.4029076499597,1.0,EA catalog
973.6769700940678,1.0,EA catalog
973.9244646574523,1.0,EA catalog
974.295500567051,1.0,EA catalog
974.3930076338476,1.0,EA catalog
974.5429422374351,1.0,EA catalog
974.8267837046592,1.0,EA catalog
974.8752487295378,1.0,EA catalog
974.9682887770164,1.0,EA catalog
975.0946307486133,1.0,EA catalog
975.4720398023018,1.0,EA catalog
975.649394087185,1.0,EA catalog
975.7370704349836,1.0,EA catalog
975.8498344513191,1.0,EA catalog
975.9035452588575,1.0,EA catalog
976.0082562486756,1.0,EA catalog
976.2382973871655,1.0,EA catalog
976.3325633910189,1.0,EA catalog
976.4450742299773,1.0,EA catalog
977.0034904610712,1.0,EA catalog
977.1233179234174,1.0,EA catalog
977.1905819888541,1.0,EA catalog
977.632691787734,1.0,EA catalog
977.7067070240877,1.0,EA catalog
977.8082488054658,1.0,EA catalog
977.9151984507433,1.0,EA catalog
978.1566548616248,1.0,EA catalog
978.4032544747155,1.0,EA catalog
978.6357464016302,1.0,EA catalog
979.0510746236048,1.0,EA catalog
979.3058615696644,1.0,EA catalog
979.3657692035115,1.0,EA catalog
979.6660064674023,1.0,EA catalog
979.7749423745155,1.0,EA catalog
980.0818416410399,1.0,EA catalog
980.2274798531474,1.0,EA catalog
980.4147766267505,1.0,EA catalog
980.5000234244496,1.0,EA catalog
980.7410495530664,1.0,EA catalog
980.9355591683377,1.0,EA catalog
981.0370459980024,1.0,EA catalog
981.2461879753805,1.0,EA catalog
981.3901629730503,1.0,EA catalog
981.6333317379905,1.0,EA catalog
981.7578490454046,1.0,EA catalog
981.8981021199537,1.0,EA catalog
982.0267948942337,1.0,EA catalog
982.1685313519613,1.0,EA catalog
982.3526628011107,1.0,EA catalog
982.593892441643,1.0,EA catalog
982.7129233418166,1.0,EA catalog
983.0316544845953,1.0,EA catalog
983.1297711481254,1.0,EA catalog
983.2017444103118,1.0,EA catalog
983.2625560930526,1.0,EA catalog
983.3278825681007,1.0,EA catalog
983.4607877353501,1.0,EA catalog
984.2122514635658,1.0,EA catalog
