name,description,file type,suffix,dbname,dbkey,input file
BADPIX,Bad pixel map,.fits,_badpixel,calibration,BADPIX,FLAT_FLAT
BKGRD_MAP,Bad pixel background map,.fits,_bmap.fits,calibration,BKGRDMAP,FLAT_FLAT
